,Title,Stars,Img_url,Price (pounds),id,Price (euros),Text,Text (es),Text (ch)
0,A Light in the Attic,3,../../media/cache/fe/72/fe72f0532301ec28892ae79a629a293c.jpg,51.77,0,60.57,"A collection of humorous and heartfelt poems and illustrations by Shel Silverstein. It explores a wide range of themes and emotions, from silly and absurd to thought-provoking and touching. A Light in the Attic is a beloved and timeless classic that continues to captivate readers of all ages.","Una colección de poemas e ilustraciones humorísticos y sinceros de Shel Silverstein. Explora una amplia gama de temas y emociones, desde tontos y absurdos hasta estimulantes y conmovedores. Una luz en el ático es un clásico querido y atemporal que continúa cautivando a lectores de todas las edades.",谢尔·西尔弗斯坦 (Shel Silverstein) 创作的幽默而真挚的诗歌和插图集。它探索了广泛的主题和情感，从愚蠢和荒唐到发人深省和感人至深。 《阁楼上的一盏灯》是一部深受喜爱的永恒经典，继续吸引着各个年龄段的读者。
1,Tipping the Velvet,1,../../media/cache/08/e9/08e94f3731d7d6b760dfbfbc02ca5c62.jpg,53.74,1,62.88,"""Tipping the Velvet"" is a coming-of-age novel written by Sarah Waters. Set in Victorian London, it tells the story of Nancy Astley, a young woman who falls in love with a male impersonator and explores her own sexuality and identity. The novel delves into themes of love, desire, and the societal restrictions placed on women during that era. It is a compelling and groundbreaking work that explores themes of identity and sexual liberation.","""Tipping the Velvet"" es una novela sobre la mayoría de edad escrita por Sarah Waters. Ambientada en el Londres victoriano, cuenta la historia de Nancy Astley, una joven que se enamora de un imitador masculino y explora su propia sexualidad e identidad. La novela profundiza en temas de amor, deseo y las restricciones sociales impuestas a las mujeres durante esa época. Es un trabajo convincente e innovador que explora temas de identidad y liberación sexual.",《Tipping the Velvet》是莎拉·沃特斯创作的一部成长小说。该剧以维多利亚时代的伦敦为背景，讲述了年轻女子南希·阿斯特利 (Nancy Astley) 爱上一名男性模仿者并探索自己的性取向和身份的故事。小说深入探讨了爱情、欲望以及那个时代对女性的社会限制等主题。这是一部引人入胜且具有开创性的作品，探讨了身份和性解放的主题。
2,Soumission,1,../../media/cache/ee/cf/eecfe998905e455df12064dba399c075.jpg,50.1,2,58.62,"""Soumission"" is a political fiction novel written by Michel Houellebecq. The story is set in France in the near future and imagines a scenario where a Muslim political party wins the presidency, transforming the country into an Islamic state. The novel explores themes of religion, politics, and cultural identity, provoking thought and debate about the complexities of modern society. ""Soumission"" sparked controversy upon its release and continues to be a thought-provoking and polarizing work of literature.","""Soumission"" es una novela de ficción política escrita por Michel Houellebecq. La historia está ambientada en Francia en un futuro próximo e imagina un escenario en el que un partido político musulmán gana la presidencia, transformando el país en un estado islámico. La novela explora temas de religión, política e identidad cultural, provocando reflexión y debate sobre las complejidades de la sociedad moderna. ""Soumission"" generó controversia tras su lanzamiento y continúa siendo una obra literaria que invita a la reflexión y polariza.",《Soumission》是米歇尔·维勒贝克创作的一部政治小说。故事发生在不久的将来的法国，想象了一个穆斯林政党赢得总统职位，将该国转变为伊斯兰国家的场景。小说探讨了宗教、政治和文化身份等主题，引发了人们对现代社会复杂性的思考和辩论。 《苏使命》一经推出就引发了争议，并且仍然是一部发人深省、两极分化的文学作品。
3,Sharp Objects,4,../../media/cache/c0/59/c05972805aa7201171b8fc71a5b00292.jpg,47.82,3,55.95,"""Sharp Objects"" is a psychological thriller novel written by Gillian Flynn. The book follows Camille Preaker, a journalist with a troubled past, as she returns to her hometown to cover the murders of two young girls. As Camille delves deeper into the investigation, she uncovers dark secrets and confronts the demons of her own past. The novel explores themes of trauma, family dynamics, and the complexities of memory. With its gripping plot and intricate character development, ""Sharp Objects"" is a thrilling and haunting read.","""Sharp Objects"" es una novela de suspenso psicológico escrita por Gillian Flynn. El libro sigue a Camille Preaker, una periodista con un pasado turbulento, mientras regresa a su ciudad natal para cubrir los asesinatos de dos niñas. A medida que Camille profundiza en la investigación, descubre oscuros secretos y se enfrenta a los demonios de su propio pasado. La novela explora temas de trauma, dinámica familiar y las complejidades de la memoria. Con su apasionante trama y su intrincado desarrollo de personajes, ""Sharp Objects"" es una lectura emocionante e inquietante.",《利器》是吉莉安·弗林创作的一部心理惊悚小说。这本书讲述了卡米尔·普雷克 (Camille Preaker) 的故事，她是一位有着坎坷过去的记者，回到家乡报道两名年轻女孩被谋杀的故事。随着卡米尔深入调查，她发现了黑暗的秘密，并直面自己过去的恶魔。小说探讨了创伤、家庭动态和记忆的复杂性等主题。凭借扣人心弦的情节和错综复杂的人物发展，《利器》是一本令人惊心动魄、令人难以忘怀的读物。
4,Sapiens: A Brief History of Humankind,5,../../media/cache/ce/5f/ce5f052c65cc963cf4422be096e915c9.jpg,54.23,4,63.45,"""Sapiens: A Brief History of Humankind"" is a non-fiction book written by Yuval Noah Harari. It provides an encompassing overview of the history of humanity, from the emergence of Homo sapiens in Africa to the present day. Harari explores various topics including the cognitive, agricultural, and scientific revolutions, as well as the impact of humans on the environment and the development of social structures and belief systems. This thought-provoking and well-researched book offers a fascinating perspective on the human species and its place in the world.","""Sapiens: una breve historia de la humanidad"" es un libro de no ficción escrito por Yuval Noah Harari. Proporciona una visión global de la historia de la humanidad, desde la aparición del Homo sapiens en África hasta la actualidad. Harari explora varios temas, incluidas las revoluciones cognitiva, agrícola y científica, así como el impacto de los humanos en el medio ambiente y el desarrollo de estructuras sociales y sistemas de creencias. Este libro, que invita a la reflexión y está bien investigado, ofrece una perspectiva fascinante sobre la especie humana y su lugar en el mundo.",《智人：人类简史》是尤瓦尔·诺亚·赫拉利（Yuval Noah Harari）撰写的一本非小说类书籍。它全面概述了人类历史，从非洲智人的出现到现在。赫拉里探讨了各种主题，包括认知、农业和科学革命，以及人类对环境的影响以及社会结构和信仰体系的发展。这本发人深省且经过深入研究的书提供了关于人类及其在世界上的地位的迷人视角。
5,The Requiem Red,1,../../media/cache/6b/07/6b07b77236b7c80f42bd90bf325e69f6.jpg,22.65,5,26.5,"""The Requiem Red"" is a historical fantasy novel written by Brynn Chapman. Set in an asylum in the late 19th century, the story follows a young woman named Patient K as she struggles with her self-identity and visions of a parallel world. As Patient K's sanity is questioned, she forms a bond with a new doctor who believes in her abilities. Together, they embark on a journey to unravel the mysteries of her past and the supernatural realm she glimpses. With its blend of historical elements and fantastical elements, ""The Requiem Red"" offers a unique and captivating narrative.","""The Requiem Red"" es una novela histórica de fantasía escrita por Brynn Chapman. Ambientada en un asilo a finales del siglo XIX, la historia sigue a una joven llamada Paciente K mientras lucha con su propia identidad y sus visiones de un mundo paralelo. Mientras se cuestiona la cordura de la Paciente K, ella forma un vínculo con un nuevo médico que cree en sus habilidades. Juntos, se embarcan en un viaje para desentrañar los misterios de su pasado y el reino sobrenatural que vislumbra. Con su combinación de elementos históricos y elementos fantásticos, ""The Requiem Red"" ofrece una narrativa única y cautivadora.",《红色安魂曲》是布林·查普曼创作的一部历史奇幻小说。故事发生在 19 世纪末的一家精神病院，讲述了一位名叫 K 的年轻女子在自我认同和平行世界愿景中挣扎的故事。当患者 K 的理智受到质疑时，她与一位相信她能力的新医生建立了联系。他们一起踏上了一段旅程，揭开她过去的谜团以及她所瞥见的超自然领域。 《红色安魂曲》融合了历史元素和奇幻元素，提供了独特而迷人的叙事。
6,The Dirty Little Secrets of Getting Your Dream Job,4,../../media/cache/e1/1b/e11bea016d0ae1d7e2dd46fb3cb870b7.jpg,33.34,6,39.01,"""The Dirty Little Secrets of Getting Your Dream Job"" is a career guide written by Don Raskin. This book aims to provide readers with insider advice and strategies to help them navigate the competitive job market and ultimately land their dream job. Raskin draws on his extensive experience in the advertising industry to offer practical tips on resume writing, interview techniques, networking, and personal branding. By sharing ""dirty little secrets"" that employers may not openly discuss, Raskin provides readers with valuable insights and tools to stand out from the crowd and secure their desired career path.","""Los pequeños secretos sucios para conseguir el trabajo de tus sueños"" es una guía profesional escrita por Don Raskin. Este libro tiene como objetivo brindar a los lectores consejos y estrategias exclusivos para ayudarlos a navegar en el competitivo mercado laboral y, en última instancia, conseguir el trabajo de sus sueños. Raskin aprovecha su amplia experiencia en la industria publicitaria para ofrecer consejos prácticos sobre redacción de currículums, técnicas de entrevista, networking y marca personal. Al compartir ""pequeños secretos sucios"" que los empleadores no pueden discutir abiertamente, Raskin brinda a los lectores información y herramientas valiosas para destacarse entre la multitud y asegurar la trayectoria profesional deseada.",《获得梦想工作的肮脏小秘密》是唐·拉斯金 (Don Raskin) 撰写的职业指南。本书旨在为读者提供内部建议和策略，帮助他们驾驭竞争激烈的就业市场并最终获得梦想的工作。拉斯金利用他在广告行业的丰富经验，提供了有关简历写作、面试技巧、人际网络和个人品牌建设的实用技巧。通过分享雇主可能不会公开讨论的“肮脏的小秘密”，拉斯金为读者提供了宝贵的见解和工具，以从人群中脱颖而出，确保他们想要的职业道路。
7,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",3,../../media/cache/97/36/9736132a43b8e6e3989932218ef309ed.jpg,17.93,7,20.98,"""The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull"" is a historical fiction novel written by Karen J. Hicks. The story revolves around the life of Victoria Woodhull, a controversial feminist figure from the 19th century. The novel explores Woodhull's journey as she challenges societal norms, fights for women's suffrage, and becomes the first woman to run for President of the United States. Through vivid storytelling and meticulous research, Hicks delves into the complexities of Woodhull's life and her impact on the women's rights movement.","""La mujer que viene: una novela basada en la vida de la infame feminista Victoria Woodhull"" es una novela de ficción histórica escrita por Karen J. Hicks. La historia gira en torno a la vida de Victoria Woodhull, una controvertida figura feminista del siglo XIX. La novela explora el viaje de Woodhull mientras desafía las normas sociales, lucha por el sufragio femenino y se convierte en la primera mujer en postularse para la presidencia de los Estados Unidos. A través de una narración vívida y una investigación meticulosa, Hicks profundiza en las complejidades de la vida de Woodhull y su impacto en el movimiento por los derechos de las mujeres.",《即将到来的女人：一部以臭名昭著的女权主义者维多利亚·伍德哈尔的生活为基础的小说》是凯伦·J·希克斯 (Karen J. Hicks) 撰写的一部历史小说。故事围绕 19 世纪备受争议的女权主义人物维多利亚·伍德哈尔 (Victoria Woodhull) 的一生展开。小说探讨了伍德哈尔挑战社会规范、争取女性选举权并成为第一位竞选美国总统的女性的历程。通过生动的故事讲述和细致的研究，希克斯深入探讨了伍德哈尔生活的复杂性以及她对女权运动的影响。
8,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,4,../../media/cache/d1/2d/d12d26739b5369a6b5b3024e4d08f907.jpg,22.6,8,26.44,"""The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics"" is a non-fiction book written by Daniel James Brown. The book tells the extraordinary true story of the University of Washington's rowing team and their journey to compete in the 1936 Olympics in Berlin, Germany. Brown meticulously chronicles the lives, struggles, and triumphs of the young rowers, providing a captivating narrative that explores themes of teamwork, resilience, and the power of determination. Through rich historical detail and engaging storytelling, this book offers a compelling account of one of America's greatest sports stories and the backdrop of international tensions leading up to World War II.","""Los muchachos del barco: nueve estadounidenses y su épica búsqueda del oro en los Juegos Olímpicos de Berlín de 1936"" es un libro de no ficción escrito por Daniel James Brown. El libro cuenta la extraordinaria historia real del equipo de remo de la Universidad de Washington y su viaje para competir en los Juegos Olímpicos de 1936 en Berlín, Alemania. Brown narra meticulosamente las vidas, las luchas y los triunfos de los jóvenes remeros, proporcionando una narrativa cautivadora que explora temas de trabajo en equipo, resiliencia y el poder de la determinación. A través de ricos detalles históricos y una narración atractiva, este libro ofrece un relato convincente de una de las historias deportivas más importantes de Estados Unidos y el telón de fondo de las tensiones internacionales que condujeron a la Segunda Guerra Mundial.",《船上的男孩：九名美国人在 1936 年柏林奥运会上史诗般的金牌追求》是丹尼尔·詹姆斯·布朗 (Daniel James Brown) 撰写的一本非小说类书籍。这本书讲述了华盛顿大学赛艇队非凡的真实故事以及他们参加 1936 年德国柏林奥运会的旅程。布朗细致地记录了年轻赛艇运动员的生活、奋斗和胜利，提供了一个引人入胜的叙述，探讨了团队合作、坚韧和决心的力量等主题。通过丰富的历史细节和引人入胜的故事讲述，这本书引人入胜地讲述了美国最伟大的体育故事之一以及导致第二次世界大战的国际紧张局势的背景。
9,The Black Maria,1,../../media/cache/d1/7a/d17a3e313e52e1be5651719e4fba1d16.jpg,52.15,9,61.02,"""The Black Maria"" is a novel written by Aracelis Girmay. The book is a collection of poetry that explores themes of identity, history, and the African diaspora. Girmay's lyrical and evocative language delves into personal experiences, cultural heritage, and the intersection of memory and imagination. ""The Black Maria"" offers a profound and introspective exploration of identity and the power of language to shape our understanding of ourselves and the world around us.","""La María Negra"" es una novela escrita por Aracelis Girmay. El libro es una colección de poesía que explora temas de identidad, historia y la diáspora africana. El lenguaje lírico y evocador de Girmay profundiza en las experiencias personales, el patrimonio cultural y la intersección de la memoria y la imaginación. ""The Black Maria"" ofrece una exploración profunda e introspectiva de la identidad y el poder del lenguaje para dar forma a nuestra comprensión de nosotros mismos y del mundo que nos rodea.",《黑色玛丽亚》是阿拉塞利斯·吉尔梅创作的长篇小说。这本书是一本探索身份、历史和非洲侨民主题的诗集。吉尔梅的抒情和令人回味的语言深入探讨了个人经历、文化遗产以及记忆与想象的交集。 《黑色玛丽亚》对身份和语言的力量进行了深刻而内省的探索，以塑造我们对自己和周围世界的理解。
